system:index,GPCODE,GPNAME,SLOPE_DEG,.geo
90_0,111815,ASANBANI 2,6.33607,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,111816,BAGSUMA,2.7459948,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,111817,BARA NAWATAND,6.136929,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,111818,BARA PICHARI,4.2204123,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,111819,BARIYO,1.0140808,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,111820,BARWA EAST,10.452005,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,111821,BHITIYA,4.153841,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,111822,BIRAJPUR,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,111823,DAMKARA BARWA,2.113115,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,111824,DEWLI,3.4387224,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,111825,GORTOPA,2.1129227,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,111826,GOVINDPUR EAST,2.0271533,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,111828,JAMDIHA,2.229732,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,111829,JANGALPUR,6.5425453,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,111830,JAYNAGAR,2.2293563,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,111831,JIALGORA,4.1532845,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,111832,KALADABUR,4.11524,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,111833,KANCHANPUR,3.7047918,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,111834,KARMATAND,5.4796734,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,111835,KHARANI,2.1132486,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,111836,KUALBERA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,111837,MAHUBANI 1,10.130518,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,111838,MAHUBANI 2,5.528232,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,111839,MARICHO,1.374396,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,111840,MATIYALA,5.52907,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,111841,MORANGA,1.3736424,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,111842,MURGABANI,4.220226,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,111843,NAGAR KIYARI,4.4525414,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,111844,PANDUKI,3.4391403,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,111845,PARASI,9.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,111846,PATHURIA,3.439084,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,111847,RATANPUR,2.7463145,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,111848,SAHRAJ,4.22063,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,111849,TILAIYA,6.139105,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,111850,TILAWANI,1.373988,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,111851,UDAYPUR,4.4515896,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,111915,AGARKUND NORTH,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,111917,ALAKENDRA,4.219788,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,111919,ANKHDWARA,3.1741676,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,111920,ASANLIYA,1.3731439,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,111921,BAIJNA,8.2891,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,111922,BANDA EAST,2.958518,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,111924,BARA AMBONA,1.0132396,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,111925,BELKUPA,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,111926,BENAGORIA (CHI),4.9050393,"{""type"":""MultiPoint"",""coordinates"":[]}"
