system:index,GPCODE,GPNAME,LANDCOVER_CLASS,.geo
112,111838,MAHUBANI 2,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,111839,MARICHO,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,111840,MATIYALA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,111841,MORANGA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,111842,MURGABANI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,111843,NAGAR KIYARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,111844,PANDUKI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,111845,PARASI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,111846,PATHURIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,111847,RATANPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,111848,SAHRAJ,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,111849,TILAIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,111850,TILAWANI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,111851,UDAYPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,111915,AGARKUND NORTH,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,111917,ALAKENDRA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,111919,ANKHDWARA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,111920,ASANLIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,111921,BAIJNA,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,111922,BANDA EAST,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,111924,BARA AMBONA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,111925,BELKUPA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,111926,BENAGORIA (CHI),12,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,111927,BENAGORIYA (NI),12,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,111928,BHAGABANDH,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,111929,BHAMAL,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,111930,BHURKUNDABARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,111931,BIRSINGPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,111932,BRIDABANPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,111933,CHANCH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,111934,DEWIYANA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,111935,DHOBARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,111936,DUMARIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,111937,DUMARKUNDA NORTH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,111939,GHAGHRA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,111940,GOPALPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,111941,GOPINATHPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,111942,HARIYAJAM,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,111943,JAMDEHI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,111944,JAMKUDAR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,111945,JOGRAT,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,111946,KALIASOL,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,111947,KALIMATI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,111948,KALIPAHARI EAST,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,111949,KALIPAHARI NORTH,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,111951,KHUSHARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,111952,LEDAHARIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,111953,MADANDIH,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,111954,MADANPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,111955,MARMA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,111956,MERHA,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,111957,NIRSA MIDDLE,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,111960,PALARPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,111961,PANCHMOHALI,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,111962,PANDRA EAST,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,111963,PANDRA WEST,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,111965,PATHARKUAN,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,111966,PATLA BARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,111967,PINDRAHAT,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,111968,PITHAKIYARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,111969,RAMKANALI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,111970,RANGAMATIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,111971,SALUKACHPARA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,111972,SASHANBARIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,111973,SHYAMPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,111974,SIJUA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,111976,SIWALIBARI MIDDLE,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,111979,SONBAD,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,111980,SUSUNLIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,111981,UPCHURIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,111982,URMA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,111983,BHUIYA CHITRO,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,111984,BISHANPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,111985,BRAHAMANDIHA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,111986,CHAITA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,111987,CHITARPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,111988,DHANGI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,111989,DUMDUMI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,111990,GENDANAWADIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,111991,GHUNGHASA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,111992,GOMO NORTH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,111994,HARIHARPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,111996,KHARIYO,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,111998,KORKOTA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,111999,LEDATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,112000,LOKBAD,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,112001,MADAIDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,112002,MATARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,112003,NERO,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,112004,PAWAPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,112005,PRADHANKHANTA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,112006,RAMAKUNDA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,112007,SINGHDAHA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,112008,SIRAMPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,112009,TANTRI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,112010,TOPCHANCHI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,112011,BARWATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,112012,BEGNARIYA,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,112013,CHURURIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,112014,JATAKHUTI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,112015,JEETPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,112016,KADAIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,112017,KAMARDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,112018,KATNIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,112019,KOLHAR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,112020,LACHURAYDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,112021,LATANI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,112022,LUKAIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,112023,MACHIYARA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,112024,MAIRANAWATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,112025,MANIYADIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,112026,MOHLIDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,112027,PHATEHPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,112028,PURNADIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,112029,RAGHUNATHPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,112030,RAJABHITHA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,112031,RAMPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,112032,RATANPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,112033,RUPAN,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,112034,TUNDI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,112035,UKMA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,245449,CHHOTANAGRI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,245450,NAVADIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,245451,PETIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,245452,PARASBANIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,245453,CHHATATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,277569,PANDRABEJRA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
