system:index,ELEVATION_M,GPCODE,GPNAME,.geo
138_0,138,111930,BHURKUNDABARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,144,111931,BIRSINGPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,139,111932,BRIDABANPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,110,111933,CHANCH,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,148,111934,DEWIYANA,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,144,111935,DHOBARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,135,111936,DUMARIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,103,111937,DUMARKUNDA NORTH,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,187,111939,GHAGHRA,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,144,111940,GOPALPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,130,111941,GOPINATHPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,146,111942,HARIYAJAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,134,111943,JAMDEHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,197,111944,JAMKUDAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,123,111945,JOGRAT,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,176,111946,KALIASOL,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,156,111947,KALIMATI,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,148,111948,KALIPAHARI EAST,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,131,111949,KALIPAHARI NORTH,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,145,111951,KHUSHARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,137,111952,LEDAHARIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,167,111953,MADANDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,157,111954,MADANPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,114,111955,MARMA,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,121,111956,MERHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,133,111957,NIRSA MIDDLE,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,181,111960,PALARPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,122,111961,PANCHMOHALI,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,152,111962,PANDRA EAST,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,147,111963,PANDRA WEST,"{""type"":""MultiPoint"",""coordinates"":[]}"
