GPCODE,GPNAME,BLOCK,N_Days,ML_MAE,ML_RMSE,ML_R2,ML_Bias,ML_Correlation,REF_MAE,REF_RMSE,REF_Bias,REF_Correlation,RMSE_Improvement,MAE_Improvement
111786,BALIAPUR EAST,Baliapur,366,3.9853783676965615,6.881134003003319,0.420695331655943,0.9195187961196972,0.663514974884463,3.9092291698637474,10.647350520975296,0.5114421136280516,0.6160571335357846,3.7662165179719773,-0.07614919783281415
111788,BARADAHA,Baliapur,366,3.8875924917779976,6.625448844720682,0.43611944164868965,0.9436781321848712,0.6766227391841673,3.8057663707616727,10.519059794241443,0.5557687522072938,0.6265190826188826,3.8936109495207605,-0.08182612101632492
111789,BHIKHRAJPUR,Baliapur,366,3.976986028117197,6.878891852823425,0.4210727916649448,0.905491359095326,0.6635298810701126,3.9092291698637474,10.647350520975296,0.5114421136280516,0.6160571335357846,3.7684586681518715,-0.06775685825344979
111790,BIRSINGHPUR,Baliapur,366,3.9288961758123433,6.638402258139794,0.4465426997053705,0.9237787094573402,0.6819260072013898,3.7944313690016376,10.542487205444134,0.48052669398336745,0.6245042054456817,3.90408494730434,-0.13446480681070572
111791,CHANDKUIYA,Baliapur,366,3.8680998143488683,6.599907987735147,0.42464554918911657,1.0068406302309894,0.6720162814167867,3.759160479133227,10.59095392347405,0.6379095888687515,0.6201245722909675,3.991045935738903,-0.10893933521564136
111792,DOLAWAR,Baliapur,366,3.86217767599383,6.655584638558017,0.4049730708379232,1.0566714089869667,0.6649156645292256,3.9814427896560014,10.822905681817733,0.7978026272550741,0.6184221709094261,4.167321043259716,0.11926511366217118
111793,DUDHIYA,Baliapur,366,3.8348250628508147,6.505132613395543,0.4198524358934286,1.0610526451252835,0.6758340110424891,3.947248467505818,10.75693189312469,0.7859251780001218,0.6243429056351406,4.2517992797291475,0.11242340465500344
111794,GHARBAR,Baliapur,366,3.9040402970593284,6.696136072318058,0.4254723162731089,1.008359126146497,0.6733516372638034,3.9572677408622527,10.82433544192958,0.7063822849688561,0.6181320553138538,4.128199369611522,0.053227443802924324
111795,JAGDISH,Baliapur,366,3.8772975923625146,6.533800721561282,0.4152099367678891,0.9816038952415986,0.6680816501700422,3.8327325521659485,10.720707213547795,0.5473008036733269,0.6120533062296649,4.186906491986513,-0.04456504019656604
111796,KARMATAND,Baliapur,366,3.8932511568470924,6.648278626550226,0.406850249590473,0.9789405631434004,0.6612123704285501,3.7725542900981623,10.795850851089119,0.5612394478215804,0.6054299031222873,4.147572224538893,-0.1206968667489301
111797,KUSMATAND,Baliapur,366,3.922672454214237,6.67700723390403,0.42471673493920503,1.0049709731769458,0.6705535791072718,3.8148937987251514,10.591725521195684,0.6208569325728275,0.6203099290248143,3.914718287291654,-0.10777865548908538
111798,MUKUNDA,Baliapur,366,3.9174558874539867,6.675427124196347,0.424988983592393,0.9962978552128569,0.6705643837465978,3.8148937987251514,10.591725521195684,0.6208569325728275,0.6203099290248143,3.916298396999337,-0.10256208872883521
111799,PALANI,Baliapur,366,3.8770715870617236,6.633486476164164,0.4130633244993922,0.975856808208386,0.6646481170774171,3.7584955037664396,10.744250883797237,0.5555849059619079,0.6102461031344844,4.110764407633074,-0.11857608329528402
111800,PRADHANKHANTA,Baliapur,366,3.8728674031316883,6.528227847699156,0.41580259641668127,0.9816432144315691,0.6684998536085884,3.8202746486907233,10.715535069630443,0.5486271330004524,0.6125325116096436,4.187307221931286,-0.052592754440965006
111801,SINDURPUR,Baliapur,366,3.8694028914090426,6.647066047665435,0.4275459281999814,0.9681997705671957,0.6720865793900026,3.8406794569091693,10.555286828545055,0.5540335256006819,0.6231680236960291,3.9082207808796205,-0.028723434499873246
111802,SURUNGA,Baliapur,366,3.8872140542928206,6.550548301391635,0.43733470847155365,0.972870658056525,0.6791228021519053,3.7826133173740017,10.510967342297901,0.5710838492983074,0.6270549780457402,3.960419040906266,-0.10460073691881888
111803,ARALGARIA,Dhanbad,366,3.786875342468841,6.666659386065635,0.3970006076486603,0.9076526740106035,0.6515434174081074,3.710743093100529,10.738486090527767,0.3986974001329997,0.5810032914658717,4.071826704462132,-0.07613224936831209
111804,BARDUBHI,Dhanbad,366,3.8390079024010433,6.753454119560261,0.40517183217397557,1.0676754006958773,0.6586926757512076,3.7723169345122214,10.715574846297455,0.5248048473153563,0.5937248510323399,3.9621207267371945,-0.0666909678888219
111805,DAMODARPUR,Dhanbad,366,3.9132745475551647,6.758274917677244,0.39218538957657245,0.9601063382862799,0.650977770603804,3.800112355237273,10.949819025484127,0.5517605345217914,0.5912578659314337,4.191544107806883,-0.11316219231789182
111806,DHOKHRA,Dhanbad,366,3.9121942880328087,6.697753237441326,0.4057289296673502,0.9845091760177335,0.6596416314707385,3.793662506325811,10.796567594166401,0.5684192658297231,0.6056205892852183,4.098814356725075,-0.11853178170699774
111807,DUBRAJDIH,Dhanbad,366,3.8584696100363765,6.79862370139564,0.4197186261382786,1.0759345978168742,0.6659043687683777,3.7688402658667495,10.561224517199001,0.5318132086878575,0.6090182388765673,3.762600815803361,-0.08962934416962698
111808,GOPINATHDIH,Dhanbad,366,3.7306868887100078,6.657385301267073,0.3958501814193336,0.9490705555709095,0.6544307582351789,3.7593348330152687,11.09366724019404,0.5276908892455153,0.580780384824002,4.436281938926967,0.028647944305260964
111809,PANDARKANALI,Dhanbad,366,3.623909031688133,6.351828540558246,0.4171824773631885,1.0400510958200135,0.6684161681862572,3.5207417824535217,9.8508508850521,0.43693696101157586,0.6028939814637684,3.499022344493854,-0.10316724923461118
111810,PANDERKANALI SOUTH,Dhanbad,366,3.6230762123259024,6.34070272655695,0.4250096690408084,1.0495530940884927,0.6729527630748594,3.5074397753554107,9.785936364244712,0.43343654783789715,0.6094662191151407,3.445233637687762,-0.11563643697049164
111811,SAMSHIKHARA,Dhanbad,366,3.8581332691549832,6.798518204130963,0.41973663496635905,1.075391825495048,0.6659055038355962,3.7688402658667495,10.561224517199001,0.5318132086878575,0.6090182388765673,3.762706313068038,-0.08929300328823375
111812,SIYALGUDRI,Dhanbad,366,3.653293487734241,6.452227551685279,0.4063791030433993,0.9755367134009079,0.6622850283755644,3.59396071782495,10.621460661191906,0.46754372471582484,0.5910102991364113,4.169233109506626,-0.05933276990929093
111813,AMARPUR,Govindpur,366,3.7636418797670523,6.721619003967958,0.39475831301417263,0.9516117032300208,0.6529750632178121,3.7398215812824565,10.941657506700306,0.5447475044157349,0.5918289113152949,4.220038502732348,-0.02382029848459588
111814,ASANBANI 1,Govindpur,366,3.5480236022243115,6.503668507950397,0.3730181036939735,0.9056500096187796,0.6375508841862786,3.566383571211117,9.882129396427887,0.38491011068957237,0.5762124039436846,3.3784608884774903,0.018359968986805697
111815,ASANBANI 2,Govindpur,366,3.6710701693383907,6.655554297403622,0.37624727398773905,0.8990309372105216,0.638768024617913,3.664146000265448,10.24898669656684,0.43572666991144615,0.5806473285229586,3.593432399163218,-0.0069241690729429095
111816,BAGSUMA,Govindpur,366,3.8628622751339514,6.710317582850546,0.3881021929687042,1.0179970038536932,0.6511118877182814,3.843456907700492,10.861864346566511,0.590790920792403,0.5992286660766907,4.151546763715965,-0.019405367433459553
111817,BARA NAWATAND,Govindpur,366,3.900345939050736,6.73061920842086,0.3888069479111198,0.9975075361249572,0.650607329626967,3.8608868468851916,10.924485872317321,0.5725447678764335,0.5934117196108251,4.193866663896461,-0.03945909216554444
111818,BARA PICHARI,Govindpur,366,3.7684163040593948,6.801312572012782,0.3870099039997744,0.8637037797930502,0.6425611084736149,3.6854353010491705,10.79398620355844,0.420406958366276,0.5767406601853611,3.9926736315456575,-0.08298100301022426
